subject,theta_ci,saccade_ci,auc,n_hip_ch,n_sac,mean_sac_change,mean_sac_cont,theta_resp_change,theta_resp_cont
sub-CS41,0.40040763924497813,0.09846827855903618,0.81875,16,874,3.465833333333333,2.84446875,11.024559673450485,4.7202268651238315
sub-CS42,-0.8124794247443305,0.13158354322793966,0.8325,16,936,4.262777777777777,3.2714035087719298,0.6359267556644156,6.146547698644186
sub-CS43,-1.0,0.017916987194760748,0.835,16,792,3.285972222222222,3.1702953586497893,-15.762875904148688,7.636786613524339
sub-CS44,-0.23105900414456187,0.02496111678300632,0.735,16,1091,3.682847222222222,3.5034687499999997,7.345301699090686,11.759679667962377
sub-CS47,0.13226992449386735,0.036279672643116025,0.9175,16,923,3.9120138888888882,3.63809829059829,13.816878901224669,10.588748418428658
sub-CS48,-0.12384924897675327,-0.007070792513188005,0.71875,16,927,3.3108333333333335,3.3579871794871794,8.279764639934553,10.620555037391998
sub-CS49,-1.0,0.04685653166052654,0.73875,16,733,4.220681818181817,3.842852564102565,-0.6866211380102057,8.50714687006644
sub-CS51,0.2396765386608868,-0.028995762055002844,0.96625,16,863,3.3075694444444443,3.505108225108225,2.1891861369805254,1.3426805535762065
sub-CS54,0.0831467436740873,-0.034439371201295615,0.8287499999999999,16,970,3.832916666666667,4.106339662447257,9.33370418572971,7.9007180940609745
sub-CS55,0.16352806096473102,-0.050633092397686236,0.93375,16,859,3.143560606060606,3.478875,17.16226491419888,12.338123585187907
sub-CS56,-0.3352214037822059,0.09680393715196521,0.74625,16,1271,3.4463194444444443,2.837975,5.6425610894170894,11.333199326216025
sub-CS57,-0.7224207642220761,0.1456699068871381,0.37125,16,1094,4.531458333333333,3.3791244725738396,0.6272935542193112,3.892450528664286
sub-CS58,0.13336555981540696,-0.14876159828953092,0.84375,16,1101,1.7680757575757575,2.386050170068027,11.830772872863138,9.04646796157696
sub-CS60,0.24017179225065546,0.19408799807180027,0.76625,16,882,5.343409090909092,3.6063652968036535,6.19508852815211,3.79560561093858
sub-CS62,0.7985761247705812,-0.0873235057464408,0.79,8,1301,2.0588611111111113,2.4528385416666665,13.418878295373917,1.5027901406346762
